"Gene","DataPlot"
"1",5
"2",3
"3",6
"4",7
"5",1
"6",9
"7",2
"8",4
"9",10
"10",5
"11",2
"12",1
"13",10
"14",6
"15",8
"16",4
"17",10
"18",6
"19",1
"20",4
"21",10
"22",3
"23",8
"24",6
"25",9
"26",3
"27",9
"28",5
"29",4
"30",2
"31",3
"32",8
"33",10
"34",9
"35",9
"36",4
"37",1
"38",6
"39",4
"40",2
"41",5
"42",8
"43",1
"44",7
"45",1
"46",6
"47",8
"48",8
"49",9
"50",5
"51",3
"52",1
"53",2
"54",4
"55",9
"56",7
"57",8
"58",1
"59",2
"60",10
"61",7
"62",5
"63",6
"64",7
"65",10
"66",7
"67",6
"68",2
"69",3
"70",1
"71",7
"72",8
"73",5
"74",10
"75",2
"76",4
"77",5
"78",10
"79",4
"80",1
"81",4
"82",10
"83",1
"84",2
"85",10
"86",1
"87",2
"88",9
"89",1
"90",4
"91",9
"92",8
"93",6
"94",9
"95",1
"96",6
"97",1
"98",9
"99",5
"100",6
