"Gene","DataPlot"
"1",6
"2",3
"3",3
"4",5
"5",10
"6",1
"7",10
"8",9
"9",3
"10",3
"11",9
"12",4
"13",5
"14",8
"15",2
"16",5
"17",9
"18",2
"19",6
"20",6
"21",10
"22",9
"23",2
"24",4
"25",1
"26",9
"27",3
"28",3
"29",4
"30",4
"31",1
"32",2
"33",10
"34",6
"35",4
"36",6
"37",7
"38",8
"39",7
"40",2
"41",7
"42",1
"43",1
"44",2
"45",6
"46",1
"47",9
"48",1
"49",8
"50",4
"51",8
"52",3
"53",5
"54",9
"55",5
"56",4
"57",3
"58",9
"59",10
"60",2
"61",5
"62",3
"63",4
"64",5
"65",3
"66",10
"67",7
"68",5
"69",9
"70",8
"71",7
"72",2
"73",9
"74",9
"75",4
"76",1
"77",7
"78",3
"79",6
"80",10
"81",4
"82",10
"83",3
"84",10
"85",2
"86",7
"87",6
"88",10
"89",9
"90",10
"91",2
"92",4
"93",3
"94",3
"95",10
"96",9
"97",3
"98",10
"99",4
"100",4
