"","ID","K.R1L1","K.R1L3","K.R1L7","L.R1L2","L.R1L4","L.R1L6","logFC","AveExpr","t","pVal","adjPVal","B"
"1","14153",6.85751406254539,6.89871453432999,6.76619171466035,7.56216163122565,7.55747290161475,7.46106551435428,-0.315563579044573,7.1412729367379,-104.309296160465,2.45300563599458e-14,2.2184982971935e-10,23.825777288958
"2","19870",8.32263709695394,8.32675881451173,8.27486682068525,8.87290767425985,8.86191700423521,8.77539495854551,-0.271315345640626,7.38177829965712,-105.003446472805,2.3205701700303e-14,2.2184982971935e-10,22.93139618521
"3","9408",6.7202201551353,6.67834211465433,6.63856778916652,8.13123654969612,8.14060704285845,8.05769419481559,-0.449120234066616,7.17578995171108,-99.0610712157967,3.77830725588684e-14,2.27806738814937e-10,23.3867193578739
"4","2383",6.6682282484174,6.72262979485545,6.65027904858742,7.38523092306657,7.40488757561612,7.30720231476474,-0.318423122819787,7.11072223979705,-89.0860119569616,9.18194634363657e-14,4.15207613659246e-10,22.4990562449091
"5","835",6.45047042214418,6.52502965784346,6.43454651878745,8.17046857833067,8.13064796816058,8.0643219609108,-0.493526246736639,7.1554706402794,-85.3820495252282,1.30983060416333e-13,4.73844319362128e-10,22.1409632444843
"6","17163",5.85507192220243,5.83773044716594,5.71042701737487,8.05864371221562,8.03365842788615,7.96519829061218,-0.621603961638241,7.0740245212448,-81.7921154943681,1.87610323766999e-13,5.65582589382913e-10,21.7461290830888
"7","2170",5.45958551414416,5.50938833662798,5.46806014113513,8.00770001288403,8.0245348716057,7.95155933115525,-0.693354334115932,7.03413158954101,-76.2134551622594,3.38723602595694e-13,8.75261789107274e-10,21.0691994980876
"8","8747",5.68017260901707,5.65248918026865,5.57972982598622,7.77695440332244,7.80710329012598,7.72885582385254,-0.617034959069434,7.03374189936232,-75.0032867425131,3.87236616785776e-13,8.7554199055264e-10,21.0098906067734
"9","13017",5.40267738187228,5.53338948872752,5.40267738187228,7.13966033596492,7.15226885603254,7.07918439460967,-0.545004683006429,6.95210597563375,-72.0542162520067,5.41561918435052e-13,9.79577198065322e-10,20.5989011147748
"10","17748",6.95463886488099,6.90274273715859,6.84374994900622,8.32093496888341,8.30943074214033,8.2602342916073,-0.436039838435552,7.21319243519326,-72.40740994922,5.19866177627177e-13,9.79577198065322e-10,20.5316273550579
"11","3573",5.6937321388027,5.78996017089725,5.64544689764324,7.71199650704767,7.7007477945118,7.66199755890189,-0.585839708998726,7.03521300817435,-68.1203635996105,8.65969595235132e-13,1.22029421251487e-09,20.2585904665309
"12","4874",4.90527477843843,5.01063529409626,4.87519732320115,6.98933526597456,6.99576615630485,6.92264389147589,-0.646379828410795,6.87187343137726,-68.6522467499695,8.1145415765988e-13,1.22029421251487e-09,19.8655503180318
"13","9184",5.84354441703136,5.94542060860658,5.8111409929767,7.16162200293919,7.15461535691366,7.11558212618445,-0.45011191504776,7.00331467720985,-68.016972839597,8.77035867021968e-13,1.22029421251487e-09,20.2551205267726
"14","13524",6.74523634948436,6.84587987526405,6.75227037614174,8.02943284058124,8.03365842788615,7.99699040583765,-0.413077779988297,7.17840939507243,-67.0170255550197,9.92632270931709e-13,1.28248089404377e-09,19.9053399489631
"15","5670",6.71780469502369,6.79122146272619,6.66440902035041,7.13489085156588,7.18235211188526,7.09090982207998,-0.266478232702907,7.09374770884728,-65.5750353666795,1.19056921849551e-12,1.43566773494312e-09,19.8310250523058
"16","9183",5.54126354515843,5.50125821054473,5.52146091786225,7.03614849375054,7.01660968389422,6.94215670569947,-0.503680809732114,6.94922477009416,-64.8827849187308,1.30100963181005e-12,1.47079138876126e-09,19.8137512048656
"17","16644",6.40687998606931,6.45676965557216,6.37161184723186,7.03878354138854,7.02997291170639,6.99484998583307,-0.308482425892976,7.05091096096869,-63.7223060772191,1.5128397317787e-12,1.53621818320865e-09,19.6606409435446
"18","4961",5.80814248998044,5.84643877505772,5.84643877505772,6.99942246750796,6.99025650049388,6.92755790627832,-0.425594730805415,6.98321364006091,-63.6426216576027,1.52874432207849e-12,1.53621818320865e-09,19.702486450903
"19","11845",5.41610040220442,5.4510384535657,5.28320372873799,6.94793706861497,6.92755790627832,6.88448665204278,-0.521033430007314,6.92489547516758,-61.8461511103302,1.94206631017671e-12,1.6333826100745e-09,19.3945463516938
"20","1342",6.36818718635049,6.44094654063292,6.34388043412633,7.0604763659998,7.12044437239249,7.02731451403978,-0.323506763976677,7.05264222277034,-61.6784299880927,1.986644041444e-12,1.6333826100745e-09,19.3765409951023
"21","2107",5.35185813347607,5.26269018890489,5.32300997913841,7.81963630236759,7.82164312623998,7.76514490293613,-0.701462465433344,6.99722013762367,-62.1635156023039,1.86074562399167e-12,1.6333826100745e-09,19.4358759988905
"22","8437",5.42934562895444,5.42934562895444,5.42934562895444,6.99759598298193,7.04490511712937,6.95368421087054,-0.525791695545084,6.93816545245868,-62.4074113114875,1.8008376672474e-12,1.6333826100745e-09,19.4826580967516
"23","13178",5.35185813347607,5.23644196282995,5.30826769740121,7.79069603117474,7.75747876658418,7.70120018085745,-0.69590988224122,6.99094634011337,-59.7757079624365,2.581306359139e-12,1.94544455933776e-09,19.1246821795235
"24","20525",5.53338948872752,5.56068163101553,5.43372200355424,7.14913159855741,7.13807303404435,7.11639414409346,-0.531612601454083,6.96074807082608,-59.9896529616118,2.50538367557753e-12,1.94544455933776e-09,19.1903988443359
"25","3469",6.08449941307517,6.24222326545517,6.05208916892442,8.06022424044096,8.07153089355666,8.02649693894541,-0.554166709549125,7.11314954471231,-59.0500119583971,2.8586720122289e-12,2.06830637428786e-09,19.0107251356674
"26","13312",9.12587121534973,9.13248693277132,9.06543020018037,9.14174028048393,9.1329192250076,9.08851166361105,-0.188965806230875,7.46611971975691,-58.0317426002053,3.30584395723383e-12,2.1466026627639e-09,16.4894183627179
