"Gene","DataPlot"
"1",8
"2",1
"3",10
"4",3
"5",6
"6",2
"7",8
"8",7
"9",5
"10",1
"11",10
"12",5
"13",2
"14",5
"15",1
"16",7
"17",4
"18",2
"19",2
"20",10
"21",10
"22",3
"23",8
"24",9
"25",7
"26",9
"27",6
"28",1
"29",5
"30",6
"31",10
"32",9
"33",7
"34",8
"35",5
"36",8
"37",6
"38",5
"39",2
"40",6
"41",4
"42",7
"43",6
"44",9
"45",6
"46",2
"47",10
"48",2
"49",4
"50",2
"51",4
"52",9
"53",10
"54",6
"55",1
"56",3
"57",8
"58",4
"59",1
"60",7
"61",2
"62",7
"63",7
"64",3
"65",8
"66",4
"67",6
"68",7
"69",8
"70",10
"71",7
"72",4
"73",1
"74",9
"75",7
"76",8
"77",5
"78",7
"79",2
"80",6
"81",5
"82",1
"83",8
"84",7
"85",2
"86",3
"87",4
"88",7
"89",4
"90",8
"91",4
"92",2
"93",10
"94",1
"95",10
"96",1
"97",8
"98",2
"99",9
"100",7
