"Gene","DataPlot"
"1",7
"2",6
"3",5
"4",1
"5",10
"6",9
"7",6
"8",6
"9",3
"10",8
"11",8
"12",7
"13",3
"14",7
"15",8
"16",7
"17",10
"18",1
"19",5
"20",6
"21",9
"22",6
"23",5
"24",8
"25",1
"26",3
"27",10
"28",7
"29",10
"30",4
"31",10
"32",7
"33",1
"34",9
"35",7
"36",6
"37",2
"38",2
"39",5
"40",8
"41",4
"42",5
"43",6
"44",10
"45",3
"46",10
"47",8
"48",9
"49",6
"50",5
"51",6
"52",10
"53",3
"54",3
"55",3
"56",4
"57",7
"58",4
"59",3
"60",8
"61",6
"62",1
"63",8
"64",6
"65",10
"66",4
"67",8
"68",8
"69",8
"70",3
"71",9
"72",2
"73",3
"74",2
"75",8
"76",7
"77",10
"78",6
"79",9
"80",10
"81",9
"82",4
"83",10
"84",9
"85",3
"86",9
"87",1
"88",7
"89",10
"90",8
"91",7
"92",2
"93",5
"94",1
"95",4
"96",7
"97",6
"98",4
"99",4
"100",1
