Identifiers	mean	sd	median	minimum	maximum	n	Mean/StdDev	CV	MFC
RPS13	12.82	0.33	12.86	8.72	14.03	13629	38.59	2.59	1.61
RPL27	12.7	0.35	12.75	9.95	14.03	13629	36.61	2.73	1.41
EEF1A1	13.47	0.39	13.51	8.73	14.03	13629	34.54	2.9	1.61
RPS20	12.81	0.37	12.83	8.42	14.03	13629	34.43	2.9	1.67
RPLP1	13.05	0.39	13.07	6.74	14.03	13629	33.34	3	2.08
TPT1	13.29	0.4	13.31	4.57	14.03	13629	33.16	3.02	3.07
RPS4X	12.96	0.41	12.99	5.57	14.03	13629	31.98	3.13	2.52
RPL30	13.08	0.42	13.09	7.03	14.03	13629	31.03	3.22	1.99
RPL13A	13.01	0.43	13.07	7.65	14.03	13629	30.42	3.29	1.83
RPL39	13.13	0.44	13.12	1.63	14.03	13629	30.11	3.32	8.59
RPL9	12.95	0.44	13.01	8.35	14.03	13629	29.75	3.36	1.68
SRP14	11.45	0.4	11.46	8.82	13.07	13629	28.87	3.46	1.48
RPS27	12.99	0.46	13.01	5.72	14.03	13629	28.3	3.53	2.45
UBC	12.94	0.46	12.99	6.75	14.03	13629	28.17	3.55	2.08
RPS23	13.36	0.49	13.37	2.82	14.03	13629	27.55	3.63	4.98
RPL24	12.5	0.46	12.59	9.11	14.03	13629	27.42	3.65	1.54
RPL22	11.94	0.44	11.99	7	13.34	13629	27.17	3.68	1.91
RPS29	12.86	0.47	12.92	7.25	14.03	13629	27.1	3.69	1.93
RPS16	12.48	0.47	12.56	8.65	14.03	13629	26.79	3.73	1.62
RPL4	12.43	0.47	12.49	8.51	13.9	13629	26.61	3.76	1.63
RPL6	12.22	0.46	12.29	8.28	13.66	13629	26.58	3.76	1.65
OAZ1	11.88	0.45	11.89	9.03	13.61	13629	26.45	3.78	1.51
RPS12	12.9	0.49	12.99	7.06	14.03	13629	26.16	3.82	1.99
RPL37	12.65	0.48	12.67	9.99	14.03	13629	26.16	3.82	1.4
RPL32	12.95	0.5	13.01	2.82	14.03	13629	25.99	3.85	4.98
RPL7A	13.09	0.51	13.14	4.9	14.03	13629	25.55	3.91	2.86
UBA52	12.15	0.48	12.2	3.59	13.9	13629	25.11	3.98	3.87
RPL19	12.55	0.5	12.64	6.39	14.03	13629	24.96	4.01	2.2
