sample.id num.tech.reps population study
NA06985 1 CEU Montgomery
NA06986 1 CEU Montgomery
NA06994 1 CEU Montgomery
NA07000 1 CEU Montgomery
NA07037 1 CEU Montgomery
NA07051 1 CEU Montgomery
NA07346 1 CEU Montgomery
NA07347 1 CEU Montgomery
NA07357 1 CEU Montgomery
NA10847 1 CEU Montgomery
NA10851 1 CEU Montgomery
NA11829 1 CEU Montgomery
NA11830 1 CEU Montgomery
NA11831 1 CEU Montgomery
NA11832 1 CEU Montgomery
NA11840 1 CEU Montgomery
NA11881 1 CEU Montgomery
NA11894 1 CEU Montgomery
NA11918 1 CEU Montgomery
NA11920 1 CEU Montgomery
NA11931 1 CEU Montgomery
NA11992 1 CEU Montgomery
NA11993 1 CEU Montgomery
NA11994 1 CEU Montgomery
NA11995 1 CEU Montgomery
NA12003 1 CEU Montgomery
NA12004 1 CEU Montgomery
NA12005 1 CEU Montgomery
NA12006 1 CEU Montgomery
NA12043 1 CEU Montgomery
NA12044 1 CEU Montgomery
NA12045 1 CEU Montgomery
NA12144 1 CEU Montgomery
NA12154 1 CEU Montgomery
NA12155 1 CEU Montgomery
NA12156 1 CEU Montgomery
NA12234 1 CEU Montgomery
NA12249 1 CEU Montgomery
NA12287 1 CEU Montgomery
NA12414 1 CEU Montgomery
NA12489 1 CEU Montgomery
NA12716 1 CEU Montgomery
NA12717 1 CEU Montgomery
NA12750 1 CEU Montgomery
NA12751 1 CEU Montgomery
NA12760 1 CEU Montgomery
NA12761 1 CEU Montgomery
NA12762 1 CEU Montgomery
NA12763 1 CEU Montgomery
NA12776 1 CEU Montgomery
NA12812 1 CEU Montgomery
NA12813 1 CEU Montgomery
NA12814 1 CEU Montgomery
NA12815 1 CEU Montgomery
NA12828 1 CEU Montgomery
NA12872 1 CEU Montgomery
NA12873 1 CEU Montgomery
NA12874 1 CEU Montgomery
NA12891 1 CEU Montgomery
NA12892 1 CEU Montgomery
NA18486 2 YRI Pickrell
NA18498 2 YRI Pickrell
NA18499 2 YRI Pickrell
NA18501 2 YRI Pickrell
NA18502 2 YRI Pickrell
NA18504 2 YRI Pickrell
NA18505 2 YRI Pickrell
NA18507 2 YRI Pickrell
NA18508 2 YRI Pickrell
NA18510 2 YRI Pickrell
NA18511 2 YRI Pickrell
NA18516 2 YRI Pickrell
NA18517 2 YRI Pickrell
NA18519 2 YRI Pickrell
NA18520 2 YRI Pickrell
NA18522 2 YRI Pickrell
NA18523 2 YRI Pickrell
NA18852 2 YRI Pickrell
NA18853 2 YRI Pickrell
NA18855 2 YRI Pickrell
NA18856 2 YRI Pickrell
NA18858 2 YRI Pickrell
NA18861 2 YRI Pickrell
NA18862 2 YRI Pickrell
NA18870 2 YRI Pickrell
NA18871 2 YRI Pickrell
NA18909 2 YRI Pickrell
NA18912 2 YRI Pickrell
NA18913 2 YRI Pickrell
NA18916 2 YRI Pickrell
NA19093 2 YRI Pickrell
NA19098 2 YRI Pickrell
NA19099 2 YRI Pickrell
NA19101 2 YRI Pickrell
NA19102 2 YRI Pickrell
NA19108 2 YRI Pickrell
NA19114 2 YRI Pickrell
NA19116 2 YRI Pickrell
NA19119 2 YRI Pickrell
NA19127 2 YRI Pickrell
NA19128 2 YRI Pickrell
NA19130 2 YRI Pickrell
NA19131 2 YRI Pickrell
NA19137 2 YRI Pickrell
NA19138 2 YRI Pickrell
NA19140 2 YRI Pickrell
NA19143 2 YRI Pickrell
NA19144 2 YRI Pickrell
NA19147 2 YRI Pickrell
NA19152 2 YRI Pickrell
NA19153 2 YRI Pickrell
NA19159 2 YRI Pickrell
NA19160 2 YRI Pickrell
NA19171 2 YRI Pickrell
NA19172 2 YRI Pickrell
NA19190 2 YRI Pickrell
NA19192 2 YRI Pickrell
NA19193 2 YRI Pickrell
NA19200 2 YRI Pickrell
NA19201 2 YRI Pickrell
NA19203 2 YRI Pickrell
NA19204 2 YRI Pickrell
NA19209 2 YRI Pickrell
NA19210 2 YRI Pickrell
NA19222 2 YRI Pickrell
NA19225 2 YRI Pickrell
NA19238 2 YRI Pickrell
NA19239 2 YRI Pickrell
NA19257 2 YRI Pickrell
