Probe	Chromosome	Start	End	Strand	10-30um_A	10-30um_B	40-45um_A	40-45um_B	50-55um_A	50-55um_B	60-65um_A	60-65um_B	GV
Xkr4	1	3205901	3671498	-	0.09247677	0.11559621	0.06881584	0.112511165	0.04465823	0.069006585	0.06555206	0.07075819	0.07199431
Gm1992	1	3466587	3513553	+	0	0	0	0	0	0	0	0	0
Rp1	1	4343507	4360314	-	0.13805752	0.13990082	0.5319579	0.40223357	0.53805083	0.5825082	0.43071917	0.5161528	0.2525486
Sox17	1	4490928	4496413	-	0.006381392	0.001994189	0	0.001659453	0.002696449	0.002051247	0.006031257	0.012269331	0.00799447
Mrpl15	1	4773206	4785739	-	1.8873415	1.7788188	1.5431772	1.5134771	1.2483819	1.3126459	1.2082093	1.4317945	1.2678456
Lypla1	1	4807788	4886770	+	4.5800304	5.443167	5.0679135	4.8139763	4.191479	4.4831796	3.8143637	4.022091	3.7885382
Tcea1	1	4857814	4897909	+	24.583248	27.643707	29.234177	26.216421	28.656872	29.21735	28.05784	29.74276	28.238302
Gm6104	1	4879202	4880669	-	1.9331703	1.6966692	1.3467305	1.2157803	1.2571516	1.2207686	1.5679377	1.3180337	1.3947017
Rgs20	1	4909576	5070285	-	0.018992132	0.023740215	0.017273469	0.019755287	0.014043929	0.015262167	0.01570631	0.022170221	0.016655054
Gm16041	1	4970857	4976820	+	0.002701599	0	0.001786998	0	0.006849343	0	0	0	0.001353802
Atp6v1h	1	5083173	5162549	+	22.464525	21.265842	17.75646	16.313608	15.313448	13.394366	13.106908	14.156246	12.00499
Oprk1	1	5588493	5606131	+	0.051486757	0.042292785	0.07103193	0.07191757	0.0721045	0.08416858	0.04866178	0.07919377	0.0442296
Npbwr1	1	5913707	5917398	-	0	0	0	0	0	0	0	0	0.001365903
Rb1cc1	1	6206197	6276648	+	2.7450147	2.720958	3.2118278	2.3176737	3.2918425	3.0502844	3.1395683	3.231124	3.7126682
4732440D04Rik	1	6213293	6214590	-	0.04873344	0	0	0	0.020592256	0.06265988	0.06908929	0	0
4732440D04Rik	1	6214612	6215292	-	0	0.009235937	0	0	0.012488402	0.028500583	0	0.008117783	0.014810315
Fam150a	1	6359331	6394731	+	0	0	0	0	0	0	0	0	0
St18	1	6487231	6860940	+	0.04339032	0.060049232	0.09020294	0.09993927	0.1152456	0.14545217	0.13474575	0.14642009	0.16695812
Pcmtd1	1	7088920	7173626	+	3.692499	3.535686	3.71775	2.8571377	3.0018156	2.843917	2.389644	2.542131	2.495422
Gm9826	1	7177739	7179037	+	0.4260893	0.4260902	0.3689552	0.40291888	0.39282224	0.4532229	0.3368125	0.30215773	0.30280763
Sntg1	1	8361475	9299878	-	0.006625052	0.005520889	0.008764407	0.005742721	0.008398224	0.009937991	0.009392322	0.006065624	0.009406352
Rrs1	1	9545408	9547454	+	1.7059203	2.0033545	1.4373243	1.5417937	1.171616	1.4822949	1.4032292	1.3557212	1.0962852
Adhfe1	1	9547948	9577970	+	0.2571839	0.2798772	0.37625813	0.3367583	0.42446297	0.4551696	0.43753088	0.46373138	0.5412867
2610203C22Rik	1	9560832	9631175	-	0.07378501	0.049958706	0.051517222	0.04477077	0.12124687	0.06456456	0.13172463	0.11596857	0.20746808
3110035E14Rik	1	9601199	9627143	+	0	0	0	0	0.002611978	0	0	0	0.001548806
Mybl1	1	9667415	9700209	-	3.9923933	4.163438	4.2885203	3.3778207	4.6316733	4.165677	4.627211	4.8280454	5.153745
Vcpip1	1	9718622	9748382	-	2.8665724	4.095481	3.7321568	4.0753574	4.332994	5.069394	5.5746775	4.9736314	6.255922
Sgk3	1	9798130	9902556	+	0.16772424	0.16051768	0.07858447	0.08450593	0.056106742	0.056160003	0.03302532	0.04318914	0.027140671
Gm6195	1	9802194	9802553	-	0	0	0	0	0	0	0	0	0
6030422M02Rik	1	9908638	9942085	+	0.016302373	0.014264607	0.011861694	0.005935106	0.006888548	0.006288319	0.003081579	0.004477734	0.005718513
Gm10567	1	9960171	9962809	-	2.0210803	2.9529765	1.4453251	1.8305815	1.0119154	1.2306767	0.59828514	0.7248051	0.35925254
Ppp1r42	1	9968624	10009136	-	0.052861217	0.066076666	0.03059486	0.013746332	0.050257	0.021239765	0.01873531	0.025408713	0.04966755
Gm15818	1	9982387	9992366	+	0	0	0	0	0	0	0	0	0
Cops5	1	10024602	10038127	-	6.8941	6.5556726	5.1271935	5.4536967	3.971705	4.4553914	4.7185593	4.017652	3.6422713
Cspp1	1	10038218	10136768	+	0.4819779	0.51586014	0.45900387	0.4488788	0.5115161	0.49459016	0.5296892	0.50658464	0.61683244
Arfgef1	1	10137571	10232670	-	6.0627756	7.3288045	6.1159487	6.1593494	6.200881	6.5384917	6.612031	5.3925095	6.836388
Cpa6	1	10324720	10719945	-	0.008827592	0.010114971	0.006812276	0.007651924	0.009946902	0.010404379	0.006952699	0.008082178	0.01032175
Prex2	1	10993465	11303682	+	0.10560528	0.06543445	0.15957937	0.09801164	0.30467	0.20191997	0.5386348	0.4195918	1.055663
A830018L16Rik	1	11414105	11975901	+	0.023136912	0.0117062	0.006558912	0.006876177	0.012104206	0.006374721	0.008330451	0.011499452	0.025396755
AC102654.1	1	11414112	11537707	+	0.033567227	0.012587737	0.004440672	0.003491605	0.011347034	0.004315966	0.012690184	0.014751729	0.03364184
Sulf1	1	12692430	12860371	+	0.022763316	0.01681385	0.0793915	0.06457639	0.11717218	0.11042145	0.15060036	0.17620246	0.17525235
Slco5a1	1	12866549	12991177	-	0.26546717	0.26940477	1.2994086	0.87614155	2.0662615	1.920121	2.126284	2.3149967	2.1271052
Dppa5b	1	13062019	13062348	+	0.030495318	0.038119227	0.04034283	0.047581054	0.05154304	0.019604947	0.028822098	0.033504304	0
Prdm14	1	13113457	13127163	-	0	0	0	0	0	0.002523258	0	0	0.003933629
Ncoa2	1	13139105	13374083	-	2.8877008	4.36471	3.3760824	4.824515	4.2926183	5.180126	4.4539423	4.643712	4.931113
Tram1	1	13564702	13589864	-	22.569597	23.880285	20.50444	21.283627	19.901003	19.639635	17.445053	18.77256	18.762497
Lactb2	1	13624845	13660546	-	2.714593	2.6552272	2.515576	2.171792	2.179809	1.9953865	1.6117135	1.8191814	1.7454326
Xkr9	1	13668771	13701723	+	0.005225055	0.003265666	0.006912323	0.002717506	0.017662724	0	0	0	0.002618335
Eya1	1	14168954	14310200	-	1.2507339	1.4971983	2.0583708	2.4534357	2.351467	2.8224123	2.3751018	2.6470623	2.763271
Msc	1	14753346	14755966	-	0	0	0	0	0	0	0	0	0
Gm9947	1	14755454	14758373	+	0	0	0	0	0	0	0	0	0
Trpa1	1	14872648	14918862	-	0.26675355	0.22721313	0.21236058	0.19644067	0.30323702	0.27772525	0.6425645	0.49796683	0.98303074
Gm10566	1	15268799	15269797	-	18.293528	25.297201	19.776468	30.036077	19.68232	25.017206	19.489105	21.415588	12.211015
Kcnb2	1	15287259	15716367	+	0.14622225	0.17630817	0.1283895	0.17834485	0.15747237	0.15889159	0.1333073	0.1336381	0.16924264
Terf1	1	15805658	15843428	+	5.950511	7.1529613	6.0039625	6.68992	5.544667	6.5806313	8.7012005	6.053254	7.6138086
Gm106	1	15853862	15892722	-	0	0	0.002422332	0	0	0	0.006922338	0.006035164	0.007340483
4930444P10Rik	1	16065979	16093325	-	0	0.009146398	0.006453289	0.005074083	0	0.009408094	0.004610418	0.005359389	0.004888911
Rpl7	1	16101295	16104662	-	37.534775	28.606657	21.228182	18.872875	17.30039	15.188107	14.707637	15.021013	11.987003
Rdh10	1	16105774	16133734	+	11.096411	12.431176	12.497066	13.244577	13.954907	13.387164	12.929413	14.119527	14.4074545
Stau2	1	16228674	16520112	-	3.6587598	3.9721794	3.2932591	3.3791223	2.7819262	2.934204	2.3922725	2.5973656	2.1750221
Gm7568	1	16253592	16267921	+	0.030100064	0.025083441	0.01990997	0.005218261	0.016958328	0.006450282	0.009482844	0.005511675	0.020111315
Ube2w	1	16569782	16619489	-	16.615314	17.535528	18.020567	16.358562	17.510906	16.802078	16.611607	17.098515	18.202803
Tceb1	1	16642766	16656865	-	62.332237	61.123222	66.80291	54.862854	71.04105	60.74266	64.614975	66.14729	67.58771
Tmem70	1	16665207	16678275	+	9.864397	10.868692	12.581643	11.971864	12.953162	13.074345	13.927249	13.881274	13.053383
Ly96	1	16688456	16709605	+	1.6188312	1.6167485	1.1811819	1.5623631	1.1847206	1.2660309	0.61515826	1.0267985	0.74431044
Gm5828	1	16768270	16770138	-	0.005384406	0.003365261	0.003561566	0.014001916	0.009100698	0.013846192	0.015266922	0.011831376	0.005396375
Jph1	1	16994938	17097889	-	0.6654562	0.8174351	0.56890184	0.6323363	0.5747547	0.6713135	0.6348773	0.60466594	0.641768
Gdap1	1	17145362	17164271	+	1.7938881	1.6138581	4.305327	3.2003136	6.5636716	5.4466157	7.8140903	7.603312	11.007834
Pi15	1	17601901	17630938	+	0.03489207	0.042706534	0.03269623	0.035538003	0.034401737	0.041124508	0.037099812	0.035938956	0.04371204
Gm16070	1	17676027	17727646	-	0.078385204	0.08064649	0.10369726	0.08655248	0.077453524	0.084504485	0.064966284	0.0688956	0.067077674
Crispld1	1	17727045	17766344	+	0.013373362	0.011144493	0.013268905	0.009273827	0.009418163	0.007164599	0.012639592	0.009795278	0.010052317
Crisp4	1	18115191	18145902	-	0	0	0	0	0	0	0	0	0
Defb18	1	18236473	18237443	-	0	0	0	0	0	0	0	0	0
Defb41	1	18250980	18265138	-	0.021549154	0.01346825	0.028507782	0.05603765	0.49170074	0.29092565	1.5478762	0.9233412	1.9653318
Gm15386	1	18260524	18265080	-	0	0	0	0	0	0	0	0	0
Gm15825	1	19063299	19104840	-	0	0	0	0	0	0	0	0	0
Tfap2d	1	19103022	19166346	+	0	0	0	0	0	0.003310969	0	0	0.002580815
Tfap2b	1	19208914	19238734	+	0.003149258	0.005904872	0.004166213	0.004913706	0.009315007	0.002024608	0.001488232	0.010379991	0.05917985
Pkhd1	1	20057779	20618064	-	0.2173031	0.20130467	0.16606529	0.17373236	0.16878453	0.1356317	0.13891405	0.14371027	0.17338313
4930486I03Rik	1	20381093	20392300	+	0	0	0	0	0	0	0	0	0
Il17a	1	20730905	20734496	+	0	0	0	0	0	0	0	0	0
Il17f	1	20777151	20784270	-	1.4155755	1.1850109	6.452274	3.9711726	9.476142	7.6444254	10.573508	10.0243	11.392768
Mcm3	1	20802974	20820278	-	9.797653	9.746784	8.5838785	9.647135	8.874244	8.939816	8.525502	9.313491	8.603805
Paqr8	1	20890622	20938755	+	0.39208263	0.5053336	0.3794961	0.316823	0.23025885	0.22358182	0.16748919	0.16184281	0.20091723
Efhc1	1	20951626	20990838	+	0.2555798	0.27098364	0.14792372	0.16852973	0.17742027	0.14083555	0.20704855	0.2231341	0.23785165
Tram2	1	20996296	21079229	-	0.13634859	0.1404161	0.13118409	0.14424495	0.20295817	0.21416028	0.36756495	0.30300888	0.42160144
Tmem14a	1	21218575	21230167	+	1.0428451	1.0428474	1.1726595	1.0770013	0.8435356	0.7901476	0.8025813	0.8715831	1.0041032
Gsta3	1	21240589	21265361	+	0	0.009036887	0.009564034	0.007519995	0.006109628	0.004647725	0	0.011914247	0.010868345
AC163025.1	1	21272338	21273082	+	0.013507992	0.025327541	0	0.035126954	0	0.060788494	0.025533669	0.029681662	0.040614054
Khdc1a	1	21349641	21352200	+	53.781494	62.99802	102.92051	80.052315	105.22678	104.1295	88.89493	88.02569	63.131577
Khdc1c	1	21368331	21370845	+	53.497654	55.88953	99.95455	71.6046	94.14935	70.83683	84.062035	83.62767	65.15619
Khdc1b	1	21383556	21386373	+	328.94354	294.59634	438.17236	350.85495	387.14954	351.06146	296.61108	325.66992	272.10526
Kcnq5	1	21398403	21961942	-	0.013088118	0.018814212	0.026837505	0.013614035	0.016591107	0.01682828	0.017318	0.020850316	0.021643398
Rims1	1	22286251	22805994	-	0.40030935	0.37391615	0.21532243	0.25776827	0.15613869	0.16779755	0.17462084	0.14982472	0.4372042
4933415F23Rik	1	23100473	23102253	-	0	0	0	0	0	0	0	0	0
Gm6420	1	23255987	23256406	-	0	0	0	0	0	0	0	0	0
Ogfrl1	1	23366424	23383175	-	0.92656916	1.4529611	0.86986107	1.0016186	0.9726568	1.0885117	0.83645964	1.027124	0.9307109
B3gat2	1	23761753	23849158	+	0.042181175	0.034475073	0.050436668	0.037125956	0.08226279	0.071965925	0.13186702	0.105163425	0.21706554
Smap1	1	23844846	23922317	-	5.660869	7.5564036	4.6493564	6.326084	4.7506824	5.309623	4.45634	4.371538	4.5760016
1110058L19Rik	1	23995939	24005656	-	13.840129	11.722971	12.056459	9.922882	10.4604645	8.386834	10.229537	10.841364	9.139557
Fam135a	1	24010758	24100341	-	2.2221453	2.3001509	2.3488922	2.2361698	2.3802888	2.541034	2.3384807	2.5020983	2.5904677
Col9a1	1	24177610	24252684	+	0	0	0.001313451	0	0.001678098	0	0	0	9.95E-04
Col19a1	1	24261890	24587472	-	0.023379596	0.018265348	0.012565032	0.009119645	0.017288286	0.01690916	0.031764153	0.025686469	0.07395587
Gm10222	1	24612404	24612700	-	5.0486693	9.10626	2.7119348	5.568746	1.6321963	4.204172	2.658038	3.3132033	4.0071626
Lmbrd1	1	24678544	24766299	+	1.4619083	1.4469749	1.1868203	1.2701229	1.1092272	1.1366869	1.192882	1.0933343	1.1741846
Bai3	1	25067476	25829707	-	0.024183245	0.022168024	0.018662276	0.020123996	0.041555647	0.04353165	0.13713814	0.08192237	0.4144527
Gm9884	1	25830657	25831878	+	0	0	0	0	0	0	0	0	0
4931408C20Rik	1	26681814	26687460	-	0	0	0	0	0	0.002996588	0	0.002560542	0.00817517
Gm597	1	28776144	28780252	-	0	0	0	0	0	0	0	0	0.001763256
Gm6462	1	28938035	28938340	+	0	0	0	0	0	0	0	0	0
Gm9898	1	30718554	30719961	-	0.008630751	0	0	0.004488779	0.051056784	0.01109714	0.08972917	0.08059997	0.16867374
Phf3	1	30802342	30863256	-	13.882004	14.292972	16.468424	15.964103	19.750338	19.538103	19.885532	18.660358	21.993793
Ptp4a1	1	30940303	30949770	-	7.6790395	8.927382	8.914323	8.332838	9.083286	8.779654	8.56363	8.410825	8.953116
Gm5698	1	30976950	30978965	-	0	0	0.017501928	0.004587131	0.007453639	0	0	0	0
Gm5699	1	30997867	30999905	-	0	0	0	0	0.007306358	0	0	0	0.004332399
4931428L18Rik	1	31141078	31222661	-	3.313259	2.424738	7.0871344	4.766723	10.633502	7.6288095	14.389983	12.52608	18.155788
Lgsn	1	31176406	31204656	+	0.005401747	0	0.003573036	0.005618804	0	0.003472696	0.005105363	0.014836849	0.01894814
4930521A18Rik	1	31222839	31224287	+	0	0	0	0	0.00586929	0.00892979	0.032820195	0.022891138	0.027842164
AC121888.1	1	31286945	31287706	+	0	0	0	0.006868656	0	0	0	0.007254869	0
Gm10307	1	31615458	31616843	+	2.6211452	2.754568	2.3389237	2.2393305	2.196715	2.2919116	1.8528491	2.397153	1.8228709
Khdrbs2	1	32172806	32657738	+	0.31101185	0.23140813	0.39674905	0.37357607	0.36922112	0.30467734	0.2869485	0.3620388	0.21522361
Gm9839	1	32519563	32520999	-	0	0	0	0	0	0	0	0	0
Gm5415	1	32543546	32547293	-	0	0.001678141	0.005328096	0.002792911	0.002269104	0.003452312	0.002537698	0.002949952	0.002690988
Prim2	1	33453811	33669786	-	10.534619	8.699913	10.752133	9.8951645	12.053595	11.197568	11.084407	12.074848	11.258653
1700001G17Rik	1	33669843	33670712	+	0.080970325	0.07229509	0.038256135	0.06015996	0.039101616	0.06692723	0.04373008	0.05718838	0.06376095
Rab23	1	33719882	33742564	+	0.7967561	1.14724	0.9164548	1.1280155	0.9879031	1.2160376	1.4049076	1.0424281	1.1465874
Bag2	1	33745484	33757794	-	0.13406022	0.13685344	0.050249394	0.06972357	0.041541122	0.025855545	0.01267046	0.0098192	0.004478607
Zfp451	1	33760472	33814595	-	1.3861825	1.6554012	1.338596	1.4702411	1.4142582	1.5248044	1.596034	1.4932935	1.5849903
Bend6	1	33852052	33907816	-	0.16255215	0.15331654	0.07624262	0.07070783	0.052451286	0.055101126	0.06983328	0.043836027	0.077013634
Dst	1	34011825	34308650	+	5.3475966	7.3641033	4.8264313	6.5618243	4.849686	6.005084	4.4253616	4.6115336	3.9007094
Ccdc115	1	34436671	34439672	-	37.117847	33.371437	35.40403	35.043278	34.821953	35.02106	36.789276	37.00397	35.078423
Imp4	1	34439851	34445736	+	7.836956	7.9324226	8.001704	8.906437	8.53517	9.055935	11.000281	10.327862	11.793648
Ptpn18	1	34459746	34473775	+	30.408438	30.979343	34.148315	33.571785	30.831213	30.851366	32.431747	32.570282	25.760956
Prss39	1	34498430	34503062	+	0	0	0	0	0	0	0	0	0
Cfc1	1	34535648	34544311	+	0.19390085	0.1999607	0.06412878	0.13614233	0.13109212	0.06856065	0.09163094	0.1118424	0.08259104
Prss40	1	34543975	34560943	-	0	0.002997937	0.003172816	0	0	0	0	0	0.004807352
1700101I19Rik	1	34579224	34579613	-	0	0	0	0	0	0	0	0	0
Fam123c	1	34579693	34590938	+	0	0	0	0.001203199	0	0.001487272	0	0	0.00115929
C230030N03Rik	1	34678188	34724301	+	0	0.004706077	0	0	0.003181669	0	0.003558284	0.0062045	0.011319667
Arhgef4	1	34721924	34813309	+	0.65489566	0.89871866	0.9920915	1.226858	1.1225046	1.2309479	0.9761752	1.1651839	0.75921243
Fam168b	1	34813219	34843065	-	2.9386292	3.929991	2.7383885	3.320463	3.1189516	3.4734452	3.5537498	3.3186207	3.2814198
Plekhb2	1	34849976	34879580	+	0.7774072	0.91033703	0.4400485	0.4888571	0.58138376	0.5410936	0.822875	0.64577687	0.9117272
Hs6st1	1	36068400	36106446	+	2.9630232	5.176845	3.3578167	4.8440814	3.8509676	5.070981	4.736465	4.566459	4.5656047
Uggt1	1	36141530	36244305	-	2.9419396	3.091545	3.0766783	3.1844304	3.8894207	3.993382	4.1818805	4.211088	4.8505087
Neurl3	1	36264602	36273425	-	0.003896034	0.002435026	0.002577068	0	0	0.002504697	0.003682266	0	0
Arid5a	1	36307733	36324029	+	0.30451754	0.37738037	0.48670742	0.5478619	0.69914454	0.7662734	0.9264246	0.935488	0.8965905
Kansl3	1	36335730	36369181	-	2.9156609	3.5892813	2.9435644	3.434652	3.0604162	3.2424471	3.2778566	3.0433016	3.2898428
Lman2l	1	36422065	36445271	-	0.5270934	0.7868648	0.64844626	0.8110606	0.7178196	0.9647792	0.8202399	0.923981	0.8697867
Cnnm4	1	36471620	36508764	+	2.5562549	4.2286186	2.7112298	3.47393	3.0543249	3.468873	3.3782134	3.2425196	3.157504
Cnnm3	1	36511867	36528237	+	1.1497469	1.6623838	1.1341794	1.326842	1.2746191	1.4282546	1.3416433	1.2641876	0.7040841
Ankrd23	1	36530534	36535729	-	0.07725272	0.08047176	0.037472997	0.05089274	0.047876466	0.029798716	0.03894081	0.031120935	0.023227332
Ankrd39	1	36538173	36547201	-	0.51838624	0.43668503	0.22362487	0.3164966	0.2523762	0.17749831	0.22366981	0.24143358	0.1750619
Sema4c	1	36548642	36558349	-	0.46918938	0.5522305	0.80922973	0.6739094	0.9820128	0.8696652	1.0816764	0.95147836	0.99429965
D430040D24Rik	1	36558359	36565613	+	0	0	0	0	0	0	0	0	0
Fam178b	1	36562694	36683183	-	1.1566782	1.3861599	0.98503155	1.0651802	0.9087518	0.9278067	0.8491628	0.9327032	0.7302916
Cox5b	1	36691487	36693385	+	70.14193	56.00698	40.739132	48.67727	32.80132	33.83412	31.390627	33.57948	27.049965
Actr1b	1	36699202	36714422	-	3.1997108	3.0145419	2.4131622	2.549604	2.0260491	1.9839394	1.4568458	1.5651115	1.073162
Zap70	1	36761861	36782816	+	0.61396307	0.6433931	0.80306286	0.7250654	0.8465589	0.8161233	0.6718986	0.85459024	0.6153278
Tmem131	1	36792191	36939527	-	1.7802446	2.8517795	1.7958292	2.493826	2.051446	2.5637376	2.2288914	2.1087596	2.4921815
Rpl12-ps1	1	36957893	36958517	-	0.080507636	0.06038086	0.08520406	0.05861986	0.04082209	0.05175706	0.045654204	0.044225678	0.016137319
Vwa3b	1	37026596	37076996	+	0.010417655	0.009766573	0	0.005418133	0.004401967	0	0.009846058	0.005722784	0.013051014
Vwa3b	1	37153844	37187605	+	0	0	0	0	0	0	0	0	0
Cnga3	1	37218336	37263384	+	0.005414826	0	0	0	0	0.003481105	0	0.001487277	0.005426863
Inpp4a	1	37299865	37410736	+	0.73382026	0.9348865	0.7767972	0.9804435	0.98055094	1.1617017	1.4415818	1.1987872	1.5447047
4930439A04Rik	1	37329667	37334172	-	0	0.007305078	0	0	0	0.022542274	0.011046797	0	0.00585704
6330578E17Rik	1	37417084	37430103	-	2.7040815	3.0284214	2.1591196	2.4252422	2.1178946	2.1504033	1.9081676	2.0077863	1.9633807
Unc50	1	37430170	37439124	+	53.554745	38.01839	50.977783	41.607605	47.09945	41.087185	45.399834	51.046665	43.7313
Mgat4a	1	37439340	37541016	-	6.3976874	6.7760534	6.6330876	6.7761855	6.91583	6.63201	6.427316	6.399704	6.378384
2010300C02Rik	1	37611677	37720085	-	0.21812415	0.37056398	0.13772207	0.25267184	0.15082054	0.19377029	0.14618342	0.16339538	0.1530263
4930556I23Rik	1	37614259	37615372	+	0.10782273	0.067389354	0.011886727	0.056077674	0	0.05776458	0	0.039487213	0.0720416
Tsga10	1	37754572	37865298	-	1.1912351	1.0637896	0.8536165	0.7900352	0.68774366	0.6973535	0.66751057	0.68676585	0.6171504
Lipt1	1	37871738	37877387	+	2.6616428	2.2376344	2.784975	2.6984832	4.305289	3.7124808	5.4015846	5.0924973	6.6861787
Mitd1	1	37874801	37890411	-	1.0376112	0.86968845	0.9795085	0.72728026	0.9901226	0.85039556	0.928723	0.9739011	1.2069243
Mrpl30	1	37890477	37898535	+	7.7379737	7.136175	5.1555433	5.4306197	4.0816903	3.7128923	3.1784816	3.6948318	2.9837444
Lyg2	1	37905921	37916493	-	0	0	0.002594142	0	0	0	0	0	0
Gm15457	1	37933596	37954136	+	0.015133015	0.044138055	0.09676213	0.02492341	0.038366623	0.014593156	0.007151348	0.018011712	0.02148609
Lyg1	1	37946736	37957759	-	0	0	0	0	0	0	0	0	0
Txndc9	1	37983867	37997346	-	13.132757	11.059108	11.760011	10.703296	11.035906	10.373988	10.248312	10.262082	10.798353
Eif5b	1	37998010	38055579	+	1.168068	1.4899353	1.4001244	1.310325	1.5488694	1.6869004	2.0981688	1.4549041	2.5204859
Rev1	1	38052787	38129662	-	4.6054296	4.4268312	4.814724	4.307755	5.251257	4.951296	6.198746	5.7656336	6.756626
Aff3	1	38177326	38664955	-	0.35692444	0.58132684	0.26710302	0.39801046	0.35276073	0.4540605	0.6432344	0.46940768	0.6790576
Gm16150	1	38235420	38246666	+	0.29793122	0.26896626	0.19706942	0.21234089	0.102577426	0.19153517	0.25029716	0.17578737	0.2543574
Gm16151	1	38307902	38311930	+	0	0	0	0	0	0	0	0	0
Gm16152	1	38384949	38393974	+	0.021723593	0.016971594	0.003592319	0	0	0.003491437	0	0	0
Lonrf2	1	38793669	38836090	-	1.4502132	1.9418252	0.7834992	1.2620672	0.800815	0.9950906	0.7019627	0.79225653	0.6416939
Chst10	1	38863877	38898160	-	0.27783534	0.38767806	0.12180556	0.19658689	0.07917607	0.08100022	0.039693996	0.044367656	0.05504302
Nms	1	38939149	38950278	+	0	0	0	0	0	0	0	0	0
Pdcl3	1	38987814	38997236	+	13.071874	11.532296	12.35718	10.888142	10.294257	11.642305	10.492528	11.970228	11.090859
Npas2	1	39193731	39363234	+	0.4496929	0.45704868	0.9076505	0.8076559	1.5467755	1.5116974	2.6216133	2.0478272	2.5377777
Rpl31	1	39367851	39371908	+	26.498018	24.776585	14.749803	19.772572	14.65701	13.932205	12.408016	12.408644	11.863541
Tbc1d8	1	39371499	39478747	-	12.19139	18.297617	17.961927	23.157366	23.980062	25.667057	25.551413	25.212175	25.88642
D1Bwg0212e	1	39534992	39546881	+	9.58616	12.8866415	12.636066	14.93012	13.920818	15.710116	15.758853	16.087091	16.876465
Gm15832	1	39547570	39552002	-	0.8074933	1.1123657	0.9011074	0.8199421	0.631346	0.7627951	0.5347506	0.6457625	0.4376763
Rnf149	1	39551296	39577405	-	3.0885375	3.3088377	2.9530013	2.755275	2.421324	2.4642963	2.2353883	2.393999	1.4801781
Creg2	1	39618406	39651182	-	0.022559911	0.017353814	0.010330938	0.024368985	0.014665635	0.024544219	0.024602413	0.0238326	0.04261126
Rfx8	1	39665306	39720997	-	0.018863082	0	0.003119291	0.002452632	0	0.003031693	0.004457025	0.002590539	0.009452506
Gm3646	1	39804141	39805332	-	0	0	0	0	0	0	0	0	0
Map4k4	1	39900913	40026310	+	6.88854	8.85181	7.918683	8.916908	9.200713	9.741875	10.01059	9.159588	8.713414
Il1r2	1	40084768	40125219	+	1.4827977	1.2560529	1.3293219	1.240951	2.0164237	1.5726482	2.2124248	2.1790326	2.2140534
