UCSC_Refseq_id	Refseq_mRNA	Gene_symbol	transcript_length	ES (raw tags)	EB (raw tags)
20774	NM_010039	Defcr4	172	0	0
17136	NM_001025351	EG574081	174	0	0
17992	NM_001039119	EG654453	189	0	0
17140	NM_001025353	EG574083	192	0	0
17991	NM_001025353	EG574083	192	0	0
17137	NM_030734	Defb5	195	0	1
5446	NM_001039125	EG654465	240	0	5
17143	NM_001012307	Defcr23	282	0	0
17145	NM_001012307	Defcr23	282	0	0
17146	NM_007850	Defcr3	282	0	0
17150	NM_001079933	Defcr26	282	0	0
17151	NM_007850	Defcr3	282	0	0
17141	NM_001012640	AY761185	285	0	1
17990	NM_001012640	AY761185	285	0	0
17159	NM_139219	Defb9	286	0	0
6730	NM_001082542	EG408196	294	0	0
17158	NM_139225	Defb10	297	0	2
17157	NM_010030	Defb2	304	0	1
17139	NM_139220	Defb7	306	0	0
17135	NM_054074	Defb6	323	0	0
21101	NM_001102665	LOC100039319	348	0	0
15817	NM_183257	Hamp2	412	0	0
17142	NM_183253	Defcr21	412	0	0
6728	NM_173869	Stfa2l1	414	0	0
20866	NM_207658	Defcr22	415	0	0
17147	NM_007851	Defcr5	421	0	0
6736	NM_001082545	Stfa2	423	0	0
20867	NM_183268	Defcr20	427	0	0
5445	NM_001037751	EG432867	441	0	5
5064	NM_207229	Plac9	451	0	0
5057	NM_207229	Plac9	451	0	0
5061	NM_207229	Plac9	451	0	0
17134	NM_019728	Defb4	454	0	1
5268	NM_017389	Ear14	462	0	1
20222	NM_001017422	Ear4	467	0	1
10346	NM_011025	Oxt	471	0	5
11204	NM_001032298	Bglap2	471	0	0
11205	NM_007541	Bglap1	477	0	1
20917	NM_009362	Tff1	478	0	0
20916	NM_009362	Tff1	478	0	0
21553	NM_001101461	9130204L05Rik	491	0	2
20760	NM_001099330	LOC100043868	491	0	3
6940	NM_130876	Krtap16-9	493	0	1
19219	NM_001025260	OTTMUSG00000016790	494	0	0
867	NM_008510	Xcl1	502	0	0
10347	NM_009732	Avp	507	0	2
17148	NM_007844	Defcr-rs1	507	0	28
19204	NM_001081564	LOC625480	507	0	1
20160	NM_001085517	EG333452	509	0	3
20159	NM_001085537	Rp23-423l11.5	510	0	0
18428	NM_023114	Apoc3	524	0	4
9180	NM_026627	1700113O17Rik	525	0	0
20468	NM_001098842	EG627927	525	0	6
22418	NM_178308	Abpg	529	0	2
15445	NM_001080942	9230107M04Rik	530	0	2
6811	NM_181596	Retnlg	530	0	1
2909	NM_011331	Ccl12	536	0	3
19997	NM_001085533	OTTMUSG00000011268	549	0	0
19998	NM_001085533	OTTMUSG00000011268	549	0	0
20093	NM_001085532	OTTMUSG00000011269	549	0	0
20461	NM_001098841	OTTMUSG00000011272	549	0	0
20462	NM_001098841	OTTMUSG00000011272	549	0	0
20463	NM_001098841	OTTMUSG00000011272	549	0	0
20464	NM_001098841	OTTMUSG00000011272	549	0	0
20465	NM_001098841	OTTMUSG00000011272	549	0	0
20467	NM_001098841	OTTMUSG00000011272	549	0	0
12261	NM_206867	OTTMUSG00000011275	570	0	1
21977	NM_010505	Ifna5	570	0	0
